filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
manual_workspace_032225_as.png,2062372,"{}",1,0,"{""name"":""rect"",""x"":847,""y"":299,""width"":8,""height"":16}","{""type"":""stop""}"
manual_workspace_032228_as.png,1894760,"{}",1,0,"{""name"":""rect"",""x"":854,""y"":305,""width"":9,""height"":21}","{""type"":""stop""}"
manual_workspace_032230_as.png,1801334,"{}",1,0,"{""name"":""rect"",""x"":915,""y"":262,""width"":17,""height"":37}","{""type"":""stop""}"
manual_workspace_032232_as.png,1980382,"{}",1,0,"{""name"":""rect"",""x"":1010,""y"":217,""width"":25,""height"":66}","{""type"":""stop""}"
manual_workspace_032233_as.png,1940858,"{}",1,0,"{""name"":""rect"",""x"":1255,""y"":78,""width"":78,""height"":143}","{""type"":""stop""}"
manual_workspace_032315_as.png,1723604,"{}",1,0,"{""name"":""rect"",""x"":850,""y"":286,""width"":13,""height"":25}","{""type"":""go""}"
manual_workspace_032317_as.png,1802714,"{}",1,0,"{""name"":""rect"",""x"":874,""y"":264,""width"":13,""height"":36}","{""type"":""go""}"
manual_workspace_032323_as.png,1947458,"{}",1,0,"{""name"":""rect"",""x"":679,""y"":291,""width"":9,""height"":21}","{""type"":""stop""}"
manual_workspace_032326_as.png,1950994,"{}",1,0,"{""name"":""rect"",""x"":803,""y"":278,""width"":13,""height"":29}","{""type"":""stop""}"
manual_workspace_032327_as.png,1992907,"{}",1,0,"{""name"":""rect"",""x"":829,""y"":280,""width"":13,""height"":34}","{""type"":""stop""}"
manual_workspace_032328_as.png,2021725,"{}",1,0,"{""name"":""rect"",""x"":849,""y"":273,""width"":17,""height"":34}","{""type"":""stop""}"
manual_workspace_032329_as.png,2077734,"{}",1,0,"{""name"":""rect"",""x"":861,""y"":265,""width"":15,""height"":35}","{""type"":""stop""}"
manual_workspace_032331_as.png,2064755,"{}",1,0,"{""name"":""rect"",""x"":880,""y"":264,""width"":17,""height"":41}","{""type"":""go""}"
